Rank_x,Player,Team_x,PA,IP,Bat WAR,Pit WAR,Total War,Rank_y,Team_y,Position,Salary,Years,Total Value,Average Annual
1,Aaron Judge,NYY,679.0,,10.1,,10.1,4.0,Yankees,OF,"$40,000,000 ",9.0,"$360,000,000 ",40000000.0
2,Shohei Ohtani,LAD,727.0,47.0,7.5,1.9,9.4,1.0,Dodgers,DH/RHP,"$28,213,523 ",10.0,"$700,000,000 ",70000000.0
3,Cal Raleigh,SEA,705.0,,9.1,,9.1,85.0,Mariners,C,"$2,666,667 ",6.0,"$105,000,000 ",17500000.0
4,Bobby Witt Jr.,KCR,687.0,,8.0,,8.0,27.0,Royals,SS,"$8,111,111 ",11.0,"$288,777,777 ",26252525.0
5,Geraldo Perdomo,ARI,720.0,,7.1,,7.1,266.0,Diamondbacks,SS,"$2,550,000 ",,$0 ,2550000.0
6,Trea Turner,PHI,639.0,,6.7,,6.7,20.0,Phillies,SS,"$27,272,727 ",11.0,"$300,000,000 ",27272727.0
7,Tarik Skubal,DET,,195.1,0.0,6.6,6.6,604.0,Tigers,LHP,"$10,150,000 ",,$0 ,10150000.0
8,Corbin Carroll,ARI,642.0,,6.5,,6.5,113.0,Diamondbacks,OF,"$5,625,000 ",8.0,"$111,000,000 ",13875000.0
9,Paul Skenes,PIT,,187.2,0.0,6.5,6.5,678.0,Pirates,RHP,"$875,000 ",,$0 ,875000.0
12,Francisco Lindor,NYM,732.0,,6.3,,6.3,12.0,Mets,SS,"$32,477,639 ",10.0,"$341,000,000 ",34100000.0
13,Fernando Tatis Jr.,SDP,691.0,,6.1,,6.1,42.0,Padres,OF,"$20,714,286 ",14.0,"$340,000,000 ",24285714.29
14,Juan Soto,NYM,715.0,,5.8,,5.8,2.0,Mets,OF,"$61,875,000 ",15.0,"$765,000,000 ",51000000.0
15,Garrett Crochet,BOS,,205.1,0.0,5.8,5.8,281.0,Red Sox,LHP,"$3,800,000 ",,$0 ,3800000.0
18,Maikel Garcia,KCR,666.0,,5.6,,5.6,,Royals,3,"$774,750 ",,$0 ,774750.0
19,Logan Webb,SFG,,207.0,0.0,5.5,5.5,82.0,Giants,RHP,"$12,000,000 ",5.0,"$90,000,000 ",18000000.0
20,Pete Crow-Armstrong,CHC,647.0,,5.4,,5.4,,Cubs,OF,"$771,000 ",,$0 ,771000.0
22,George Springer,TOR,586.0,,5.2,,5.2,38.0,Blue Jays,OF,"$24,166,667 ",6.0,"$150,000,000 ",25000000.0
23,Byron Buxton,MIN,542.0,,5.0,,5.0,107.0,Twins,OF,"$15,142,857 ",7.0,"$100,000,000 ",14285714.29
24,Yoshinobu Yamamoto,LAD,,173.2,0.0,5.0,5.0,22.0,Dodgers,RHP,"$14,166,667 ",12.0,"$325,000,000 ",27083333.0
